4968,31202136508,22401,1STOCKS,1STOCKS,1STOCKS,1STOCKS,1STOCKS,1STOCKS,1STOCKS,1STOCKS,1STOCKS,1STOCKS,293270098,98640,71769,cbc414a2-ca2d-4769-ae24-993ce5bb15e1
7114,12122617681,85542,2STOCKS,2STOCKS,2STOCKS,2STOCKS,2STOCKS,2STOCKS,2STOCKS,2STOCKS,2STOCKS,2STOCKS,981747269,70795,44180,775a569e-9a86-47e4-8f8b-fcfb7d4ac4c4
19648,43778344882,88557,3STOCKS,3STOCKS,3STOCKS,3STOCKS,3STOCKS,3STOCKS,3STOCKS,3STOCKS,3STOCKS,3STOCKS,167748113,59283,51038,30ac3cd6-6bae-4577-85dd-90a5669f2f1b
12988,94679327099,60561,4STOCKS,4STOCKS,4STOCKS,4STOCKS,4STOCKS,4STOCKS,4STOCKS,4STOCKS,4STOCKS,4STOCKS,468538381,90627,15841,9fe52539-76ae-4150-8371-f6c3ca100570
1722,994340206,90986,5STOCKS,5STOCKS,5STOCKS,5STOCKS,5STOCKS,5STOCKS,5STOCKS,5STOCKS,5STOCKS,5STOCKS,290048914,30825,58291,080c76f9-d732-4204-a8f1-505f9b6d2ff6
9137,52533712547,20402,6STOCKS,6STOCKS,6STOCKS,6STOCKS,6STOCKS,6STOCKS,6STOCKS,6STOCKS,6STOCKS,6STOCKS,936610804,84159,42492,b5495410-aeca-4436-bee6-9c69b1f84665
4004,6859638,71247,7STOCKS,7STOCKS,7STOCKS,7STOCKS,7STOCKS,7STOCKS,7STOCKS,7STOCKS,7STOCKS,7STOCKS,500620109,98449,62618,3d8c8a26-4989-47a4-a115-f647016e0017
7479,22587626819,60721,8STOCKS,8STOCKS,8STOCKS,8STOCKS,8STOCKS,8STOCKS,8STOCKS,8STOCKS,8STOCKS,8STOCKS,111366818,69184,20583,d9038d99-8fed-4521-a8b0-21750b9c1a6f
10528,58787929147,11282,9STOCKS,9STOCKS,9STOCKS,9STOCKS,9STOCKS,9STOCKS,9STOCKS,9STOCKS,9STOCKS,9STOCKS,927427867,83067,43823,79a65479-f9bb-4382-bf7b-f46e408a8eca
4121,47879163600,53965,10STOCKS,10STOCKS,10STOCKS,10STOCKS,10STOCKS,10STOCKS,10STOCKS,10STOCKS,10STOCKS,10STOCKS,582856627,38035,63268,33c625b2-bb24-4fc8-967c-7fbb9b4903f5
12817,12140492173,86449,11STOCKS,11STOCKS,11STOCKS,11STOCKS,11STOCKS,11STOCKS,11STOCKS,11STOCKS,11STOCKS,11STOCKS,274370754,38849,24204,dbc5764a-578f-44b6-94ca-004c5ab8f979
12686,76396942417,78456,12STOCKS,12STOCKS,12STOCKS,12STOCKS,12STOCKS,12STOCKS,12STOCKS,12STOCKS,12STOCKS,12STOCKS,310420134,26834,66833,23c57f53-6c30-4c14-b34b-cdb58f4e9e15
257,36158943346,29845,13STOCKS,13STOCKS,13STOCKS,13STOCKS,13STOCKS,13STOCKS,13STOCKS,13STOCKS,13STOCKS,13STOCKS,384399837,14969,29670,af5c2378-a200-4bf1-a627-94e2e8f6094e
12703,60521786470,86051,14STOCKS,14STOCKS,14STOCKS,14STOCKS,14STOCKS,14STOCKS,14STOCKS,14STOCKS,14STOCKS,14STOCKS,178849259,60416,27518,f1e2f213-a912-477d-b646-f8b2cb937a47
2822,95117159701,13154,15STOCKS,15STOCKS,15STOCKS,15STOCKS,15STOCKS,15STOCKS,15STOCKS,15STOCKS,15STOCKS,15STOCKS,939093473,66818,57644,93a30f80-6c22-40f7-a492-e87002ebc5d4
1411,85389105039,20720,16STOCKS,16STOCKS,16STOCKS,16STOCKS,16STOCKS,16STOCKS,16STOCKS,16STOCKS,16STOCKS,16STOCKS,115898976,99749,43706,daa1081c-717f-48ea-9a92-24cb52e3c291
11927,62155272208,95046,17STOCKS,17STOCKS,17STOCKS,17STOCKS,17STOCKS,17STOCKS,17STOCKS,17STOCKS,17STOCKS,17STOCKS,437374565,43003,63967,2f275122-648e-418c-8427-662114ad0bb5
11520,21032501448,17422,18STOCKS,18STOCKS,18STOCKS,18STOCKS,18STOCKS,18STOCKS,18STOCKS,18STOCKS,18STOCKS,18STOCKS,683683145,77840,81986,c8c87392-7394-44cc-9334-b56bf4110481
13921,46303428507,10242,19STOCKS,19STOCKS,19STOCKS,19STOCKS,19STOCKS,19STOCKS,19STOCKS,19STOCKS,19STOCKS,19STOCKS,210987356,25956,83059,ce133e37-8a29-44b3-8b6c-050563373594
18270,76365704520,56167,20STOCKS,20STOCKS,20STOCKS,20STOCKS,20STOCKS,20STOCKS,20STOCKS,20STOCKS,20STOCKS,20STOCKS,643822929,37695,17760,05b0abff-0fee-45ff-baba-85ccfafb5b76
5839,3758410204,28945,21STOCKS,21STOCKS,21STOCKS,21STOCKS,21STOCKS,21STOCKS,21STOCKS,21STOCKS,21STOCKS,21STOCKS,275556480,96218,86655,97fcc583-f7f7-429a-be2b-6a94a218a143
3441,96869188462,72648,22STOCKS,22STOCKS,22STOCKS,22STOCKS,22STOCKS,22STOCKS,22STOCKS,22STOCKS,22STOCKS,22STOCKS,908115580,47392,48406,71b47280-4e24-466f-b9aa-4f2eb7b65b61
4679,45899237526,80534,23STOCKS,23STOCKS,23STOCKS,23STOCKS,23STOCKS,23STOCKS,23STOCKS,23STOCKS,23STOCKS,23STOCKS,427378587,29278,23479,0f78d3a4-dc94-45d4-8dce-0e83fd2edb42
16852,16447983569,98754,24STOCKS,24STOCKS,24STOCKS,24STOCKS,24STOCKS,24STOCKS,24STOCKS,24STOCKS,24STOCKS,24STOCKS,876960486,79139,97271,59936e68-b589-41bd-811f-c08a379a23b3
10455,15935342028,97798,25STOCKS,25STOCKS,25STOCKS,25STOCKS,25STOCKS,25STOCKS,25STOCKS,25STOCKS,25STOCKS,25STOCKS,797960335,62276,89638,fe20e693-4b28-4717-962b-b207d72fa153
14869,58418294274,61414,26STOCKS,26STOCKS,26STOCKS,26STOCKS,26STOCKS,26STOCKS,26STOCKS,26STOCKS,26STOCKS,26STOCKS,329886463,22076,21916,caa3771e-7627-4828-b9c9-ce27e7d8d1c2
5433,19522124733,59871,27STOCKS,27STOCKS,27STOCKS,27STOCKS,27STOCKS,27STOCKS,27STOCKS,27STOCKS,27STOCKS,27STOCKS,592682757,29694,42172,4f0f9ec0-ba41-4725-9dcf-05f676c074f0
15993,18431707166,41250,28STOCKS,28STOCKS,28STOCKS,28STOCKS,28STOCKS,28STOCKS,28STOCKS,28STOCKS,28STOCKS,28STOCKS,723396800,99380,78182,991b8f81-6dfd-4614-9341-5345bc44d4af
3622,98315058103,56646,29STOCKS,29STOCKS,29STOCKS,29STOCKS,29STOCKS,29STOCKS,29STOCKS,29STOCKS,29STOCKS,29STOCKS,515382982,28082,83282,6bad0740-b6e0-4639-b7f2-a2021ce1d397
