200000000000000,1001,District1,District1Street1,District1Street2,District1,District1City,District1State,34589,2.001,1.001,62617862781
200000001000001,1001,District2,District2Street1,District2Street2,District2,District2City,District2State,34591,2.011,1.011,62617966626
200000002000002,1001,District3,District3Street1,District3Street2,District3,District3City,District3State,34593,2.021,1.021,62618070471
200000003000003,1001,District4,District4Street1,District4Street2,District4,District4City,District4State,34595,2.031,1.031,62618174316
200000004000004,1001,District5,District5Street1,District5Street2,District5,District5City,District5State,34597,2.041,1.041,62618278161
200000005000005,1001,District6,District6Street1,District6Street2,District6,District6City,District6State,34599,2.051,1.051,62618382006
200000006000006,1001,District7,District7Street1,District7Street2,District7,District7City,District7State,34601,2.061,1.061,62618485851
200000007000007,1001,District8,District8Street1,District8Street2,District8,District8City,District8State,34603,2.071,1.071,62618589696
200000008000008,1001,District9,District9Street1,District9Street2,District9,District9City,District9State,34605,2.081,1.081,62618693541
200000009000009,1001,District10,District10Street1,District10Street2,District10,District10City,District10State,34607,2.091,1.091,62618797386
200000010000010,1002,District11,District11Street1,District11Street2,District11,District11City,District11State,34609,2.101,1.101,62618901231
200000011000011,1002,District12,District12Street1,District12Street2,District12,District12City,District12State,34611,2.111,1.111,62619005076
200000012000012,1002,District13,District13Street1,District13Street2,District13,District13City,District13State,34613,2.121,1.121,62619108921
200000013000013,1002,District14,District14Street1,District14Street2,District14,District14City,District14State,34615,2.131,1.131,62619212766
200000014000014,1002,District15,District15Street1,District15Street2,District15,District15City,District15State,34617,2.141,1.141,62619316611
200000015000015,1002,District16,District16Street1,District16Street2,District16,District16City,District16State,34619,2.151,1.151,62619420456
200000016000016,1002,District17,District17Street1,District17Street2,District17,District17City,District17State,34621,2.161,1.161,62619524301
200000017000017,1002,District18,District18Street1,District18Street2,District18,District18City,District18State,34623,2.171,1.171,62619628146
200000018000018,1002,District19,District19Street1,District19Street2,District19,District19City,District19State,34625,2.181,1.181,62619731991
200000019000019,1002,District20,District20Street1,District20Street2,District20,District20City,District20State,34627,2.191,1.191,62619835836
