100000,200000000000000,1001,200000000000000,1001,123456,19209,3672698
100001,200000001000001,1002,200000001000001,1002,123456,19210,3672800
100002,200000002000002,1001,200000002000002,1001,123456,19211,3672902
100003,200000003000003,1002,200000003000003,1002,123456,19212,3673004
100004,200000004000004,1001,200000004000004,1001,123456,19213,3673106
100005,200000005000005,1002,200000005000005,1002,123456,19214,3673208
100006,200000006000006,1001,200000006000006,1001,123456,19215,3673310
100007,200000007000007,1002,200000007000007,1002,123456,19216,3673412
100008,200000008000008,1001,200000008000008,1001,123456,19217,3673514
100009,200000009000009,1002,200000009000009,1002,123456,19218,3673616
100010,200000010000010,1001,200000010000010,1001,123456,19219,3673718
100011,200000011000011,1002,200000011000011,1002,123456,19220,3673820
100012,200000012000012,1001,200000012000012,1001,123456,19221,3673922
100013,200000013000013,1002,200000013000013,1002,123456,19222,3674024
100014,200000014000014,1001,200000014000014,1001,123456,19223,3674126
100015,200000015000015,1002,200000015000015,1002,123456,19224,3674228
100016,200000016000016,1001,200000016000016,1001,123456,19225,3674330
100017,200000017000017,1002,200000017000017,1002,123456,19226,3674432
100018,200000018000018,1001,200000018000018,1001,123456,19227,3674534
100019,200000019000019,1002,200000019000019,1002,123456,19228,3674636
100020,200000000000000,1001,200000000000000,1001,123456,19229,3674738
100021,200000001000001,1002,200000001000001,1002,123456,19230,3674840
100022,200000002000002,1001,200000002000002,1001,123456,19231,3674942
100023,200000003000003,1002,200000003000003,1002,123456,19232,3675044
100024,200000004000004,1001,200000004000004,1001,123456,19233,3675146
100025,200000005000005,1002,200000005000005,1002,123456,19234,3675248
100026,200000006000006,1001,200000006000006,1001,123456,19235,3675350
100027,200000007000007,1002,200000007000007,1002,123456,19236,3675452
100028,200000008000008,1001,200000008000008,1001,123456,19237,3675554
100029,200000009000009,1002,200000009000009,1002,123456,19238,3675656
100030,200000010000010,1001,200000010000010,1001,123456,19239,3675758
100031,200000011000011,1002,200000011000011,1002,123456,19240,3675860
100032,200000012000012,1001,200000012000012,1001,123456,19241,3675962
100033,200000013000013,1002,200000013000013,1002,123456,19242,3676064
100034,200000014000014,1001,200000014000014,1001,123456,19243,3676166
100035,200000015000015,1002,200000015000015,1002,123456,19244,3676268
100036,200000016000016,1001,200000016000016,1001,123456,19245,3676370
100037,200000017000017,1002,200000017000017,1002,123456,19246,3676472
100038,200000018000018,1001,200000018000018,1001,123456,19247,3676574
100039,200000019000019,1002,200000019000019,1002,123456,19248,3676676
100040,200000000000000,1001,200000000000000,1001,123456,19249,3676778
100041,200000001000001,1002,200000001000001,1002,123456,19250,3676880
100042,200000002000002,1001,200000002000002,1001,123456,19251,3676982
100043,200000003000003,1002,200000003000003,1002,123456,19252,3677084
100044,200000004000004,1001,200000004000004,1001,123456,19253,3677186
100045,200000005000005,1002,200000005000005,1002,123456,19254,3677288
100046,200000006000006,1001,200000006000006,1001,123456,19255,3677390
100047,200000007000007,1002,200000007000007,1002,123456,19256,3677492
100048,200000008000008,1001,200000008000008,1001,123456,19257,3677594
100049,200000009000009,1002,200000009000009,1002,123456,19258,3677696
100050,200000010000010,1001,200000010000010,1001,123456,19259,3677798
100051,200000011000011,1002,200000011000011,1002,123456,19260,3677900
100052,200000012000012,1001,200000012000012,1001,123456,19261,3678002
100053,200000013000013,1002,200000013000013,1002,123456,19262,3678104
100054,200000014000014,1001,200000014000014,1001,123456,19263,3678206
100055,200000015000015,1002,200000015000015,1002,123456,19264,3678308
100056,200000016000016,1001,200000016000016,1001,123456,19265,3678410
100057,200000017000017,1002,200000017000017,1002,123456,19266,3678512
100058,200000018000018,1001,200000018000018,1001,123456,19267,3678614
100059,200000019000019,1002,200000019000019,1002,123456,19268,3678716
100060,200000000000000,1001,200000000000000,1001,123456,19269,3678818
100061,200000001000001,1002,200000001000001,1002,123456,19270,3678920
100062,200000002000002,1001,200000002000002,1001,123456,19271,3679022
100063,200000003000003,1002,200000003000003,1002,123456,19272,3679124
100064,200000004000004,1001,200000004000004,1001,123456,19273,3679226
100065,200000005000005,1002,200000005000005,1002,123456,19274,3679328
100066,200000006000006,1001,200000006000006,1001,123456,19275,3679430
100067,200000007000007,1002,200000007000007,1002,123456,19276,3679532
100068,200000008000008,1001,200000008000008,1001,123456,19277,3679634
100069,200000009000009,1002,200000009000009,1002,123456,19278,3679736
100070,200000010000010,1001,200000010000010,1001,123456,19279,3679838
100071,200000011000011,1002,200000011000011,1002,123456,19280,3679940
